$ buildtest report

name                          id        state      returncode  starttime            endtime                runtime  tags                    buildspec
exit1_pass                    647084a8  PASS                1  2021/03/24 12:43:45  2021/03/24 12:43:45   0.078872  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    ab0f7e37  PASS                1  2021/03/24 13:54:28  2021/03/24 13:54:28   0.060211  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    a3573208  PASS                1  2021/03/24 13:54:30  2021/03/24 13:54:30   0.071542  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    20956316  PASS                1  2021/03/24 13:54:31  2021/03/24 13:54:31   0.079416  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    95fcfa54  PASS                1  2021/03/24 13:54:32  2021/03/24 13:54:32   0.151047  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    017cb50d  PASS                1  2021/03/24 13:54:34  2021/03/24 13:54:35   0.077395  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    7b15c0fc  PASS                1  2021/03/24 13:54:45  2021/03/24 13:54:45   0.135211  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    408584db  PASS                1  2021/03/24 13:54:57  2021/03/24 13:54:58   0.080234  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    2db64e57  PASS                1  2021/03/24 13:54:58  2021/03/24 13:54:58   0.07945   tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    db7a41e1  PASS                1  2021/03/24 13:55:06  2021/03/24 13:55:06   0.075641  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    092008f4  PASS                1  2021/03/24 14:37:26  2021/03/24 14:37:26   0.072016  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    f35fdc4e  PASS                1  2021/03/24 14:37:27  2021/03/24 14:37:27   0.084196  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    9106e409  PASS                1  2021/03/24 14:37:29  2021/03/24 14:37:29   0.080518  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    ec3bae0c  PASS                1  2021/03/24 14:37:30  2021/03/24 14:37:30   0.089     tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    e1f34769  PASS                1  2021/03/24 14:37:31  2021/03/24 14:37:31   0.084671  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    1a31fb9e  PASS                1  2021/03/24 14:37:36  2021/03/24 14:37:36   0.07351   tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    7ee3afd3  PASS                1  2021/03/24 14:37:54  2021/03/24 14:37:54   0.063964  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    2d99b378  PASS                1  2021/03/24 14:37:54  2021/03/24 14:37:55   0.060808  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    981c7a8e  PASS                1  2021/03/24 14:38:05  2021/03/24 14:38:05   0.156171  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
exit1_pass                    c92c619e  PASS                1  2021/03/24 16:23:05  2021/03/24 16:23:05   0.066052  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
