$ buildtest report --format name,id,executor,state,returncode

name                          id        executor              state      returncode
returncode_int_match          30e1c596  generic.local.sh      PASS              128
returncode_int_match          9bb67c99  generic.local.sh      PASS              128
returncode_int_match          18a91a3c  generic.local.sh      PASS              128
returncode_int_match          b3568b74  generic.local.sh      PASS              128
returncode_int_match          6c207099  generic.local.sh      PASS              128
returncode_int_match          f6cd523e  generic.local.sh      PASS              128
returncode_int_match          d9d4ef3d  generic.local.sh      PASS              128
returncode_int_match          eb8a8022  generic.local.sh      PASS              128
returncode_int_match          9fcb82c1  generic.local.sh      PASS              128
returncode_int_match          50b51215  generic.local.sh      PASS              128
returncode_int_match          683efc70  generic.local.sh      PASS              128
returncode_int_match          0451ffa6  generic.local.sh      PASS              128
returncode_int_match          cbf37884  generic.local.sh      PASS              128
returncode_int_match          1df47e2e  generic.local.sh      PASS              128
returncode_int_match          3f3d6fdb  generic.local.sh      PASS              128
python_hello                  81e5a2fc  generic.local.bash    PASS                0
python_hello                  fb8d4c21  generic.local.bash    PASS                0
python_hello                  6e71e69f  generic.local.bash    PASS                0
python_hello                  ee314e86  generic.local.bash    PASS                0
python_hello                  fd8020a4  generic.local.bash    PASS                0
python_hello                  1745ad73  generic.local.bash    PASS                0
python_hello                  59b95a3a  generic.local.bash    PASS                0
python_hello                  997a9fb6  generic.local.bash    PASS                0
python_hello                  58b52d60  generic.local.bash    PASS                0
python_hello                  13ab6af4  generic.local.bash    PASS                0
circle_area                   de39da0a  generic.local.python  PASS                0
circle_area                   84da8f9f  generic.local.python  PASS                0
circle_area                   93cbb343  generic.local.python  PASS                0
circle_area                   2510ef7d  generic.local.python  PASS                0
circle_area                   4988b95c  generic.local.python  PASS                0
circle_area                   10e17fd7  generic.local.python  PASS                0
circle_area                   3005d89e  generic.local.python  PASS                0
circle_area                   c5aa2b91  generic.local.python  PASS                0
circle_area                   c62b62cd  generic.local.python  PASS                0
circle_area                   15dc8f9b  generic.local.python  PASS                0
circle_area                   295d6afd  generic.local.python  PASS                0
circle_area                   17a42f64  generic.local.python  PASS                0
circle_area                   5a5ba96e  generic.local.python  PASS                0
circle_area                   46ef8cc9  generic.local.python  PASS                0
circle_area                   7f600fc6  generic.local.python  PASS                0
circle_area                   86ded4c0  generic.local.python  PASS                0
circle_area                   4c7bf6b1  generic.local.python  PASS                0
circle_area                   1d71cadb  generic.local.python  PASS                0
circle_area                   940b067f  generic.local.python  PASS                0
circle_area                   26d10efc  generic.local.python  PASS                0
circle_area                   b092b235  generic.local.python  PASS                0
circle_area                   525a6711  generic.local.python  PASS                0
hello_c                       d3540fe4  generic.local.bash    PASS                0
hello_dinosaur                f47e1f9f  generic.local.bash    PASS                0
slurm_down_nodes_reason       94ff6ddf  generic.local.bash    PASS                0
slurm_not_responding_nodes    1595c971  generic.local.bash    PASS                0
hello_f                       e7b3c9c0  generic.local.bash    PASS                0
circle_area                   66e6404c  generic.local.python  PASS                0
_bin_sh_shell                 f2eb33e1  generic.local.sh      PASS                0
_bin_bash_shell               c5338fd5  generic.local.bash    PASS                0
bash_shell                    ab48929c  generic.local.bash    PASS                0
sh_shell                      6a35f896  generic.local.sh      PASS                0
shell_options                 42ed1aa1  generic.local.sh      PASS                0
pre_post_build_run            f746c34f  generic.local.bash    PASS                0
_bin_sh_shell                 f1f12846  generic.local.sh      PASS                0
_bin_sh_shell                 db2623ab  generic.local.sh      PASS                0
_bin_sh_shell                 ab4c8c37  generic.local.sh      PASS                0
_bin_sh_shell                 814c1ecf  generic.local.sh      PASS                0
_bin_sh_shell                 ababe051  generic.local.sh      PASS                0
_bin_sh_shell                 01f83ed4  generic.local.sh      PASS                0
_bin_sh_shell                 dd0b3f38  generic.local.sh      PASS                0
_bin_sh_shell                 0b1843a6  generic.local.sh      PASS                0
_bin_sh_shell                 748a8f77  generic.local.sh      PASS                0
_bin_sh_shell                 ea2cd33f  generic.local.sh      PASS                0
_bin_sh_shell                 db1e41bd  generic.local.sh      PASS                0
_bin_bash_shell               a29ec667  generic.local.bash    PASS                0
_bin_bash_shell               0e030719  generic.local.bash    PASS                0
_bin_bash_shell               1909d91e  generic.local.bash    PASS                0
_bin_bash_shell               8a26c849  generic.local.bash    PASS                0
_bin_bash_shell               6daeb3c2  generic.local.bash    PASS                0
_bin_bash_shell               c4559e57  generic.local.bash    PASS                0
_bin_bash_shell               9abd49b2  generic.local.bash    PASS                0
_bin_bash_shell               f656cd6a  generic.local.bash    PASS                0
_bin_bash_shell               1b31c92b  generic.local.bash    PASS                0
_bin_bash_shell               9d750730  generic.local.bash    PASS                0
_bin_bash_shell               a3ab532d  generic.local.bash    PASS                0
bash_shell                    84a8e12e  generic.local.bash    PASS                0
bash_shell                    cb6e9d50  generic.local.bash    PASS                0
bash_shell                    0d623d7f  generic.local.bash    PASS                0
bash_shell                    aa5b3cae  generic.local.bash    PASS                0
bash_shell                    933c43f2  generic.local.bash    PASS                0
bash_shell                    3faee098  generic.local.bash    PASS                0
bash_shell                    ff45e071  generic.local.bash    PASS                0
bash_shell                    68e284be  generic.local.bash    PASS                0
bash_shell                    de20ff92  generic.local.bash    PASS                0
bash_shell                    c3a0246c  generic.local.bash    PASS                0
bash_shell                    d6c06916  generic.local.bash    PASS                0
sh_shell                      ba3d8249  generic.local.sh      PASS                0
