[siddis14@amrndhl1157 buildtest-framework]$ buildtest -ls

ID  |     Software
----|-----------------------------
1   |   ACTC
2   |   Advisor
3   |   Amber
4   |   Anaconda2
5   |   Anaconda3
6   |   Aspera-Connect
7   |   Autoconf
8   |   Automake
9   |   Autotools
10  |   BEDTools
11  |   BWA
12  |   BamTools
13  |   Bison

...


324 |   xprop
325 |   xproto
326 |   xtrans
327 |   zlib
Total Software Packages:  328


